name	address	postcode	tel	website	latitude	longitude
Aracely	1201 8th St	94107	(415) 437-2947	http://www.aracelysf.com	37.76665	-122.399328
Annual Armenian Food Festival and Bazaar	825 Brotherhood Way	94132	(415) 751-9140	http://www.stgregorysf.org	37.713534	-122.478618
Aroma Tea Shop	845 Washington St	94108	(415) 362-6588		37.794893	-122.407514
ABL Restaurant Mexican Food	2052 Mission St	94110	(415) 621-5510		37.7641	-122.419922
A and E BBQ	190 Tioga Ave	94134	(415) 468-3639		37.717206	-122.407488
Abbondanza Catering	520 Hayes St	94102	(415) 552-2672		37.776762	-122.425094
All Asia Foods	1950 Innes Ave	94124	(415) 641-7867		37.743176	-122.395037
Alioto's Crab Stand	Fisherman S Wharf	94199	(415) 673-0183	http://www.fishermanswharf.org/Alioto.htm	37.807572	-122.415592
Allstar Donuts and Sandwich	98 9th St	94103	(415) 863-4949		37.776243	-122.414863
Alpha Numeric Restaurant	225 Clement St	94118	(415) 752-2298		37.782982	-122.461709
Alcatraz Pizza	977 N Point St	94109	(415) 441-6989	http://www.alcatrazpizza.com	37.805364	-122.42326
Ayadi Pizza	377 Bay St	94133	(415) 398-1000	http://www.ayadipizza.com	37.805599	-122.413134
Arc Com Fabrics	251 Rhode Island St	94103	(415) 861-8600		37.766787	-122.402553
A-1 Bakery	1727 Ocean Ave	94112	(415) 584-6923		37.724712	-122.460802
All Season Restaurant	5238 Diamond Heights Blvd	94131	(415) 282-8883	http://www.allseasonrestaurant.com	37.744239	-122.439297
Anu	43 6th St	94103	(415) 543-3505	http://www.anu-bar.com	37.781639	-122.409569
Ana Mandara	891 Beach St	94109	(415) 771-6800	http://www.anamandara.com	37.806171	-122.42357
Amy's Cafe	175 Steuart St	94105	(415) 896-2589		37.792372	-122.392001
Amici's East Coast Pizzeria	216 King St	94107	(415) 546-6666	http://www.amicis.com	37.777815	-122.392432
Alborz	1245 Van Ness Ave	94109	(415) 440-4321	http://www.alborzrestaurants.com	37.787367	-122.421853
Adobo Roll-O	18th St	94110		http://twitter.com	37.761439	-122.425994
Asian Restaurant	5173 Mission St	94112	(415) 586-1206	http://www.asiasf.com	37.715918	-122.441342
Aato	1449 Lombard St	94123	(415) 292-2368	http://www.aatosf.com	37.801111	-122.42551
Ar Roi Restaurant	643 Post St	94109	(415) 771-5146	http://www.arroithai.com	37.787703	-122.412413
Ayola	118 New Montgomery St	94105	(415) 348-0808	http://ayolasf.com	37.787166	-122.400207
Ajisen Ramen	865 Market St	94103	(415) 357-0288	http://www.ajisen-la.com	37.784065	-122.407369
Avenue G	1000 Clement St	94118	(415) 221-7111		37.782826	-122.469911
Archive Bar and Kitchen	602 Mission St	94105	(415) 987-5770	http://www.archivebarsf.com	37.787944	-122.400128
Adelita's Cakes Con Sabores Nicaraguense	3780 Mission St	94110	(415) 824-4584		37.736125	-122.42505
Arinell Pizza	509 Valencia St	94110	(415) 255-1303	http://www.facebook.com/pages/Arinell-Pizza-Inc/116617358352278	37.764721	-122.421841
Auxiliary Shops At Mt Zion Hsp	1600 Divisadero St	94115	(415) 353-7776	http://mountzion.ucsfmedicalcenter.org	37.785085	-122.439102
All Day Cafe	1105 Market St	94103	(415) 252-8883		37.780314	-122.412597
Aquitaine	175 Sutter St	94104	(415) 402-5290	http://www.aquitainesf.com	37.789883	-122.403585
Al's Elbow Room	5650 Mission St	94112	(415) 333-2828		37.710815	-122.448013
Aioli Cafe De La Presse	469 Bush St	94108	(415) 249-0900	http://www.cafedelapresse.com	37.790496	-122.405431
Arizmendi Bakery	1268 Valencia St	94110	(415) 826-9218	http://valencia.arizmendi.coop	37.752588	-122.420878
Alice's	1599 Sanchez St	94131	(415) 282-8999	http://www.alicesrestaurantsf.com	37.743664	-122.428752
Angel Cafe and Deli	700 Geary St	94109	(415) 931-3467	http://www.facebook.com/pages/Angel-Cafe-Deli/112934242059472	37.786553	-122.414883
American Cupcake	1919 Union St	94123	(415) 896-4217	http://www.americancupcake.com	37.79762	-122.430961
Asia Express	239 Powell St	94102	(415) 982-0166		37.786868	-122.408234
Ashley's Cafe	4454 California St	94118	(415) 831-6269	http://www.ashleyscafe.com	37.784984	-122.46554
Ak Pizza	3088 Balboa St	94121	(415) 387-4992	http://pizzajointpizza.com	37.776065	-122.491857
Annie's Social Club	917 Folsom St	94107	(415) 974-1585	http://www.anniessocialclub.com	37.77994	-122.40375
Asia Express	1650 Holloway Ave	94132	(415) 338-6338		37.722681	-122.478308
Andale Mexican Restaurant	845 Market St	94103	(415) 243-8700	http://www.andalemexican.com	37.784542	-122.406803
Alex Bakery	431 Clement St	94118	(415) 387-0151		37.782879	-122.463874
Alma's Restaurant	1101 Valencia St	94110	(415) 401-8959	http://www.almacomida.com	37.755277	-122.420829
Alhamra	3083 16th St	94103	(415) 621-3935	http://alhamrarestaurant.net	37.76486	-122.421408
All Good Pizza	1605 Jerrold Ave	94124	(415) 846-6960	http://allgoodpizza.com	37.738802	-122.389689
Ariake Japanese Restaurant	5041 Geary Blvd	94118	(415) 221-6210	http://www.sfariake.com	37.780479	-122.473478
Adina For Life	660 York St	94110	(415) 285-9300	http://www.adinaworld.com	37.760932	-122.409288
Aloha Seafood	2224 Larkin St	94109	(415) 441-4484	http://alohaseafood.net	37.798499	-122.420575
Ayola	327 Kearny St	94108	(415) 391-1154	http://www.ayolasf.com	37.791076	-122.404124
Ace Parking Management	555 Montgomery St	94111	(415) 398-1900	http://www.aceparking.com	37.794393	-122.403392
Anna Bakery	715 Clay St	94108	(415) 989-8898		37.794354	-122.405043
Acre Cafe	1013 Lincoln Way	94122	(415) 561-2273	http://www.acregourmet.com/ourservices/concessions.html	37.765719	-122.468838
Annie's Hot Dogs and Pretzels	555 Fulton St	94102	(415) 861-0778	http://annieshotdogsandpretzels.liveonatt.com	37.778299	-122.4258
Another Cafe	1191 Pine St	94109	(415) 857-5770	http://www.anothercafesf.com	37.790237	-122.415446
Ah Lin Restaurant	1634 Bush St	94109	(415) 922-5279	http://www.ahlinrestaurantsf.com	37.788265	-122.424188
Academy Cafe	100 Middle East Dr	94118	(415) 876-6124	http://www.academycafesf.com	37.777111	-122.466553
Auntie J's Caramel Kettle Corn	Dolores Park	94110			37.76266	-122.425469
Americana Grill and Fountain	3532 Balboa St	94121	(415) 387-2893	http://americanagrillandfountain.com	37.77585	-122.496788
Ame Restaurant	689 Mission St	94105	(415) 284-4040	http://www.amerestaurant.com	37.786297	-122.401826
A Sip and A Taste	1144 Ingerson Ave	94124	(415) 282-5135		37.720675	-122.395539
Amy's Cafe	280 Golden Gate Ave	94102	(415) 931-3928		37.781879	-122.415178
Adi	1480 Carroll Ave	94124	(415) 671-0277		37.723882	-122.3909
Astronaut Cafe	428 11th St	94103		http://www.astronautcafe.com	37.769769	-122.412049
Anchor Brewing Co.	1705 Mariposa St	94107	(415) 863-8350	http://www.anchorbrewing.com	37.763527	-122.401079
Abacus	2078 Hayes St	94117	(415) 387-2828	http://www.abacussf.com	37.773377	-122.450506
All About Herbs	704 Post St	94109	(415) 292-6856		37.787746	-122.413647
After Osha	432 Sutter St	94108	(415) 397-6742	http://www.afterosha.com	37.789424	-122.407462
AK Subs	397 8th St	94103	(415) 241-9600	http://www.aksubs.net	37.773926	-122.40853
Allstar Donuts and Burgers	290 Golden Gate Ave	94102	(415) 921-5541		37.781746	-122.415409
Aux Delices Vietnamese Restaurant	2327 Polk St	94109	(415) 928-4977	http://www.auxdelicessf.com	37.798249	-122.422319
Alibi Restaurant and Lounge	142 Minna St	94105	(415) 857-4142	http://www.sfalibi.com	37.786754	-122.400374
Ananda Fuara	1298 Market St	94102	(415) 621-1994	http://www.anandafuara.com	37.777752	-122.416186
Aveline	490 Geary St	94102	(415) 345-2303	http://www.avelinesf.com	37.787142	-122.411335
Al's Good Food Cafe	3286 Mission St	94110	(415) 641-8445	http://alssupercafe.com	37.744225	-122.420903
Alchemist Bar and Lounge	679 3rd St	94107	(415) 746-9968	http://www.alchemistsf.com	37.779183	-122.393132
A G Ferrari Foods	688 Mission St	94105	(415) 344-0644	http://www.agferrari.com	37.786497	-122.401805
Akiko's Sushi Bar	542 Mason St	94102	(415) 989-8218	http://www.chinsushibar.com	37.788695	-122.410098
Alex Gourmet Burrito	545 Sansome St	94111	(415) 362-1384		37.795386	-122.401694
Axum Cafe	698 Haight St	94117	(415) 252-7912	http://www.axumcafe.com	37.771778	-122.43365
Amber India Restaurant	25 Yerba Buena Ln	94103	(415) 777-0500	http://www.amber-india.com/SanFrancisco	37.785783	-122.404371
Applebee's	2770 Taylor St	94133	(415) 749-9025	http://www.applebees.com	37.808092	-122.415662
American Bao Bar	2491 Mission St	94110	(800) 226-3678	http://www.americanbaobarsf.com	37.757272	-122.419115
Aslam's Rasoi	1037 Valencia St	94110	(415) 695-0599	http://www.aslamsrasoi.com	37.756339	-122.420998
Assab	2845 Geary Blvd	94118	(415) 441-7083	http://www.menutopia.com/GetMenu.m?vendorId=8607	37.782116	-122.449834
Aziza	5800 Geary Blvd	94121	(415) 752-2222	http://www.aziza-sf.com	37.780481	-122.481692
Ala Romana	1098 Jackson St	94133	(415) 292-3699	http://alaromana.com	37.795285	-122.41323
AQ Restaurant and Bar	1085 Mission St	94103	(415) 341-9000	http://www.aq-sf.com	37.779461	-122.410478
Absinthe Brasserie and Bar	398 Hayes St	94102	(415) 551-1590	http://www.absinthe.com	37.77708	-122.422912
Amber Dhara	680 Valencia St	94110	(415) 400-5699	http://www.amber-india.com	37.762025	-122.421715
Aliment	786 Bush St	94108	(415) 829-2737	http://www.alimentsf.com	37.79	-122.410219
Acquerello	1722 Sacramento St	94109	(415) 567-5432	http://www.acquerello.com	37.791473	-122.421413
Butterfly	1500 The Embarcadero	94133	(415) 864-8999	http://www.butterflysf.com	37.806781	-122.405376
Blue Mermaid Chowder House and Bar	495 Jefferson St	94109	(415) 771-2222	http://www.bluemermaidsf.com	37.807407	-122.420671
Baraka	410 Townsend St	94107	(415) 255-0387	http://www.barakasf.net	37.775154	-122.397426
Burger King	360 Bay St	94133	(415) 421-6940	http://www.bk.com	37.805768	-122.412935
Belly Good Cafe and Crepes	1737 Post St	94115	(415) 346-8383		37.78532	-122.43035
Bamboo Pizza	407 Ellis St	94102	(415) 292-5861		37.784799	-122.412983
Bar Norcini	225 Powell St	94102	(415) 397-3621	http://www.barnorcini.com	37.786792	-122.4082
Betelnut	2030 Union St	94123	(415) 929-8855	http://www.betelnutrestaurant.com	37.797567	-122.432784
Bernie's	3966 24th St	94114	(415) 642-1192		37.751485	-122.431072
Black Point Cafe	882 N Point St	94109	(415) 800-8448	http://www.blackpointcafesf.com	37.805656	-122.421811
Burger King	2978 16th St	94103	(415) 863-5066	http://www.bk.com	37.765165	-122.419226
Bay Gourmet Cafe	163 2nd St	94105	(415) 618-0534		37.787363	-122.398795
Brasserie S and P	222 Sansome St	94104	(415) 986-2020	http://www.mandarinoriental.com/sanfrancisco	37.792483	-122.400909
